"id","documento_origen","pagina_comentario","revisor","capitulo_afectado","seccion_afectada","texto_resumido","categorias","prioridad","estado","evidencia_encontrada","accion_recomendada"
"REV-001","docs/revisiones/Segundo.pdf","2; 13","No identificable","Capitulo I","Introduccion","La seccion aparecia como provisional: 'este punto se mejorara con la finalizacion de la tesis'.","Redaccion; Organizacion; Coherencia","Alta","resuelto","La marca aparece en Segundo.pdf pagina 2 y pagina 13. En capitulos/CapituloI.qmd ya no aparece la frase provisional y la introduccion esta desarrollada desde la linea 3.","Mantener como resuelto y verificar coherencia final con resultados y conclusiones."
"REV-002","docs/revisiones/Cronologia_ultimas revisiones.pdf","1","Edelmiro Lopez Iglesias","Capitulos II; III; IV","General","El correo del 10 de junio indica que en los capitulos II, III y IV quedaron pocas notas, casi todas formales, que deben corregirse para considerarlos definitivos.","Redaccion; Formato USC; Organizacion; Coherencia","Alta","pendiente","Correo visible/OCR en Cronologia pagina 1. No se verifico aun cada comentario formal contra los capitulos II-IV.","Revisar capitulos II-IV contra Segundo.pdf pagina por pagina antes de certificarlos."
"REV-003","docs/revisiones/Cronologia_ultimas revisiones.pdf","1","Edelmiro Lopez Iglesias","Capitulo V","General","El correo del 10 de junio indica que el capitulo V aun contiene comentarios sobre aspectos formales que deben corregirse.","Redaccion; Formato USC; Organizacion","Alta","pendiente","Correo visible/OCR en Cronologia pagina 1. No se verifico aun cada comentario formal del capitulo V.","Revisar Capitulo V contra Segundo.pdf y registrar cada marca especifica antes de certificar."
"REV-004","docs/revisiones/Cronologia_ultimas revisiones.pdf","1","Edelmiro Lopez Iglesias","Capitulo VI","General","El correo del 10 de junio indica que el capitulo VI mejoro en conjunto, sin observaciones importantes de contenido, pero conserva muchos comentarios de detalle por corregir.","Redaccion; Organizacion; Coherencia; Figuras; Tablas; Interpretacion","Alta","pendiente","Correo visible/OCR en Cronologia pagina 1. Segundo.pdf contiene marcas visuales especificas en paginas 93 y 98 que siguen presentes en capitulos/CapituloVI.qmd lineas 323 y 967.","Corregir o justificar cada marca visual del Capitulo VI antes de certificar."
"REV-005","docs/revisiones/Cronologia_ultimas revisiones.pdf","1","Edelmiro Lopez Iglesias","Capitulo VII","General","El 10 de junio Edelmiro no reviso Capitulo VII porque esperaba una nueva version con observaciones de Eduardo; el 24 de junio envio una version con comentarios propios.","Organizacion; Metodologica; Econometrica; Interpretacion; Resultados","Alta","resuelto","Capitulo VII reestructurado y renderizado con base_final_v1.1.csv; observaciones de Tercero.pdf integradas en metodologia, resultados, econometria, discusion, tablas, figuras y Quarto.","Mantener seguimiento solo si nuevos revisores formulan observaciones sobre la version corregida."
"REV-006","docs/revisiones/Cronologia_ultimas revisiones.pdf","1","Edelmiro Lopez Iglesias","Capitulo VII","Analisis e interpretacion de resultados","El correo del 24 de junio indica que los calculos econometricos son interesantes, pero el analisis e interpretacion de resultados debe mejorar y no limitarse a presentar resultados.","Conceptual; Econometrica; Interpretacion; Resultados; Discusion; Redaccion","Muy alta","resuelto","Interpretaciones OLS, multinivel y SFA reescritas con mecanismos, limitaciones, implicaciones y comparacion con literatura en capitulos/CapituloVII.qmd.","Cerrada en la version corregida; verificar en defensa contra PDF renderizado final."
"REV-007","docs/revisiones/Cronologia_ultimas revisiones.pdf","1","Edelmiro Lopez Iglesias","Capitulos II-VI","General","El correo del 24 de junio indica que en capitulos anteriores queda pendiente incorporar los cambios indicados.","Redaccion; Formato USC; Organizacion; Coherencia","Alta","pendiente","Correo visible/OCR en Cronologia pagina 1. No hay certificacion individual posterior de capitulos II-VI en la matriz.","Completar revision de capitulos II-VI contra Segundo.pdf antes de certificarlos."
"REV-008","docs/revisiones/Cronologia_ultimas revisiones.pdf","1; 2","Eduardo Corbelle; Edelmiro Lopez Iglesias","Capitulo VII","7.5.2 Productividad del trabajo","Eduardo no pudo ver 'las dos notas siguientes' citadas por Edelmiro al inicio de 7.5.2; Edelmiro aclara que son dos comentarios/propuestas de texto inmediatamente posteriores.","Redaccion; Interpretacion; Resultados; Renderizado; Reproducibilidad","Muy alta","resuelto","Se reescribio 7.5.2 Productividad del trabajo sin depender de notas invisibles; se eliminaron insumos constantes y se incorporo interpretacion econometrica actual.","Cerrada por sustitucion integral del pasaje observado."
"REV-009","docs/revisiones/Cronologia_ultimas revisiones.pdf","1","Eduardo Corbelle","Capitulo VII","Productividad negativa","Eduardo pregunta como puede existir productividad negativa si se calcula como valor de produccion dividido por superficie o trabajo.","Metodologica; Estadistica; Reproducibilidad; Resultados","Muy alta","resuelto","Observacion del Capitulo VII incorporada en la version corregida de capitulos/CapituloVII.qmd.","Cerrada."
"REV-010","docs/revisiones/Cronologia_ultimas revisiones.pdf","1","Eduardo Corbelle","Capitulo VII","7.5.3 Evaluacion del ajuste de modelos lineales","Eduardo observa que AIC/BIC se usan correctamente para comparar modelos de la misma variable, pero no para comparar productividad del trabajo contra productividad de la tierra.","Econometrica; Estadistica; Metodologica; Interpretacion","Muy alta","resuelto","Texto de AIC/BIC reformulado: solo compara OLS vs multinivel dentro de la misma variable dependiente y misma muestra; SFA queda separada por submuestra positiva.","Cerrada."
