"archivo","tabla","ruta","bytes","registros","columnas","identificador_duplicado"
"acnac2022.sav","acnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/acnac2022.sav",4473338,42444,40,FALSE
"adnac2022.sav","adnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/adnac2022.sav",1191396,9283,23,TRUE
"apnac2022.sav","apnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/apnac2022.sav",6715228,42444,84,FALSE
"cgnac2022.sav","cgnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/cgnac2022.sav",4317287,42444,23,FALSE
"cpnac2022.sav","cpnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/cpnac2022.sav",3664039,14743,110,TRUE
"ctnac2022.sav","ctnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/ctnac2022.sav",4863179,17512,116,TRUE
"efemovilizacion2022.sav","efemovili","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/efemovilizacion2022.sav",2567887,30153,23,FALSE
"eunac2022.sav","eunac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/eunac2022.sav",2871894,30502,23,FALSE
"fpnac2022.sav","fpnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/fpnac2022.sav",148989,577,75,TRUE
"ftnac2022.sav","ftnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/ftnac2022.sav",102976,391,76,TRUE
"glnac2022.sav","glnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/glnac2022.sav",2341861,14476,81,FALSE
"gpnac2022.sav","gpnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/gpnac2022.sav",752845,6543,34,FALSE
"gvnac2022.sav","gvnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/gvnac2022.sav",264014,2966,15,FALSE
"oenac2022.sav","oenac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/oenac2022.sav",589562,6914,15,FALSE
"pcnac2022.sav","pcnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/pcnac2022.sav",2608991,15000,73,TRUE
"sunac2022.sav","sunac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/sunac2022.sav",11987014,95613,29,TRUE
"vmnac2022.sav","vmnac2022","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/vmnac2022.sav",5717227,65454,22,TRUE
"vtasglnac2022.sav","vtasglnac","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/vtasglnac2022.sav",606646,5613,32,FALSE
"vtasgpnac2022.sav","vtasgpnac","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/vtasgpnac2022.sav",180754,1866,27,FALSE
"vtasgvnac2022.sav","vtasgvnac","C:/Users/jose.ordonez/Desktop/TESIS_PhD/data/raw/vtasgvnac2022.sav",47645,477,26,FALSE
