object,rows,columns,source
acnac2022,42444,40,data/raw/acnac2022.rds
adnac2022,9283,23,data/raw/adnac2022.rds
apnac2022,42444,84,data/raw/apnac2022.rds
cgnac2022,42444,23,data/raw/cgnac2022.rds
cpnac2022,14743,110,data/raw/cpnac2022.rds
ctnac2022,17512,116,data/raw/ctnac2022.rds
efemovilizacion2022,30153,23,data/raw/efemovilizacion2022.rds
eunac2022,30502,23,data/raw/eunac2022.rds
fpnac2022,577,75,data/raw/fpnac2022.rds
ftnac2022,391,76,data/raw/ftnac2022.rds
glnac2022,14476,81,data/raw/glnac2022.rds
gpnac2022,6543,34,data/raw/gpnac2022.rds
gvnac2022,2966,15,data/raw/gvnac2022.rds
oenac2022,6914,15,data/raw/oenac2022.rds
pcnac2022,15000,73,data/raw/pcnac2022.rds
sunac2022,95613,29,data/raw/sunac2022.rds
vmnac2022,65454,22,data/raw/vmnac2022.rds
vtasglnac2022,5613,32,data/raw/vtasglnac2022.rds
vtasgpnac2022,1866,27,data/raw/vtasgpnac2022.rds
vtasgvnac2022,477,26,data/raw/vtasgvnac2022.rds
