Producto,Precio_kg,n_values,rule
490,10.5,1,precio_unico
abaca,5.9,1,precio_unico
abacá,5.9,1,precio_unico
aceite crudo de palma o aceite rojo,1.29706021037332,1,precio_unico
aceite de palma,1.28731857142857,1,precio_unico
aceite de palmiste,1.62050520833333,1,precio_unico
aceite vegetal - cocinero,2.86374360220279,1,precio_unico
aceite vegetal - favorita,3.12205655216946,1,precio_unico
aceite vegetal - girasol,4.43765051724591,1,precio_unico
acelga,0.2755775,1,precio_unico
achillea,6.24,1,precio_unico
achiote,0.715071507150715,1,precio_unico
agapanthus,6.24,1,precio_unico
aguacate,0.66006600660066,1,precio_unico
aguacate fuerte,1.49249773683107,1,precio_unico
aji,0.9,1,precio_unico
ajo,0.605060506050605,1,precio_unico
ajo bulbo seco,1.84188898672919,1,precio_unico
ajonjoli,0.99009900990099,1,precio_unico
alcachofa,3,1,precio_unico
alfalfa,2.5,1,precio_unico
algodon,0.66006600660066,1,precio_unico
amaranto,3.30693,1,precio_unico
amy n – gardenia,6.24,1,precio_unico
anémona,6.24,1,precio_unico
apio,6,1,precio_unico
arandano,10.5,1,precio_unico
arándano,10.5,1,precio_unico
araza,0.16,1,precio_unico
arrocillo,0.471666666666667,1,precio_unico
arroz,0.35,1,precio_unico
arroz (pilado),0.528052805280528,1,precio_unico
arroz blanco 15% grano partido,0.432233986291509,1,precio_unico
arroz cascara,0.605060506050605,1,precio_unico
arroz cáscara,0.336841055651093,1,precio_unico
arroz en cáscara grano corto,0.320078281666427,1,precio_unico
arroz en cáscara grano largo,0.351067784544185,1,precio_unico
arroz envejecido artificial,0.731705798059965,1,precio_unico
arroz pilado envejecido artificial,0.814879681174089,1,precio_unico
arroz pilado envejecido natural,0.923327759197324,1,precio_unico
arroz pilado natural grano corto,0.648223062779423,1,precio_unico
arroz pilado natural grano largo,0.738781509249466,1,precio_unico
arveja seca,1.10486690384966,1,precio_unico
arveja seca (grano seco),1.1,1,precio_unico
"arveja seca (grano
seco)",1.32275132275132,1,precio_unico
arveja seca (vaina seca),0.962757554,1,precio_unico
"arveja seca (vaina
seca)",0.495049504950495,1,precio_unico
arveja tierna (grano tierno),0.661386,1,precio_unico
"arveja tierna (grano
tierno)",0.605060506050605,1,precio_unico
arveja tierna (vaina),1.32275132275132,1,precio_unico
arveja tierna en vaina,0.869569854130592,1,precio_unico
arveja tierna en vaina-quantum,1.15603870082909,1,precio_unico
asno,1.11,1,precio_unico
aster,4.44,1,precio_unico
astromellas,4.75,1,precio_unico
avena,1.0582176|1.10229276895944,2,conflicto_resuelto_con_precio_minimo
avena forrajera,1.22,1,precio_unico
avena hojuelas,0.980640446023511,1,precio_unico
avestruces,16,1,precio_unico
azúcar - contrato 11,0.414801336833933,1,precio_unico
azúcar - contrato 5,0.537765099441621,1,precio_unico
azúcar blanca,0.700370278172414,1,precio_unico
babaco,0.561629685129685,1,precio_unico
badea,0.47,1,precio_unico
balanceado para camarón,0.89,1,precio_unico
bambú o caña guadua,0.4,1,precio_unico
banano - cavendish,0.934144977379465,1,precio_unico
banano (guineo),0.221824321954641,1,precio_unico
banano cavendish,0.320064482029598,1,precio_unico
banano cavendish enano,1.6046002309587,1,precio_unico
banano cavendish spot,1.10767438626101,1,precio_unico
banano de exportacion,0.33125,1,precio_unico
banano de exportación,0.33125,1,precio_unico
"banano de
exportacion",0.33125,1,precio_unico
barbecho o rastrojo,0.1,1,precio_unico
borojo,4.5,1,precio_unico
bosques artificiales,4,1,precio_unico
bovino a la canal,3.36317592592593,1,precio_unico
bovino en pie - toretes,1.78858333333333,1,precio_unico
bovino en pie - toros,1.77896666666667,1,precio_unico
