module,input_rows,input_unique_identifiers,output_rows,output_unique_identifiers,output_duplicate_identifiers,grain,notes
base_master_cgnac,42444,42444,42444,42444,0,UPA/cuestionario,""
uso_suelo_tenencia,95613,42444,42444,42444,0,UPA agregada,""
adnac2022,9283,4426,4426,4426,0,UPA agregada,""
cpnac2022,14743,9542,9542,9542,0,UPA agregada,""
ctnac2022,17512,9483,9483,9483,0,UPA agregada,""
fpnac2022,577,322,322,322,0,UPA agregada,""
ftnac2022,391,53,53,53,0,UPA agregada,""
pcnac2022,15000,11621,11621,11621,0,UPA agregada,""
acnac2022,42444,42444,42444,42444,0,UPA agregada,""
apnac2022,42444,42444,42444,42444,0,UPA agregada,""
glnac2022,14476,14476,14476,14476,0,UPA agregada,""
gpnac2022,6543,6543,6543,6543,0,UPA agregada,""
gvnac2022,2966,2966,2966,2966,0,UPA agregada,""
oenac2022,6914,6914,6914,6914,0,UPA agregada,""
eunac2022,30502,30502,30502,30502,0,UPA agregada,""
insumos_agricolas,42444,42444,42444,42444,0,UPA agregada,""
