variable,in_official,in_candidate
Identificador,TRUE,TRUE
ual_prov,TRUE,TRUE
ual_estr,TRUE,TRUE
ual_segm,TRUE,TRUE
cg_k100,TRUE,TRUE
cg_k101,TRUE,TRUE
cg_k102,TRUE,TRUE
cg_se_define,TRUE,TRUE
edad_rango,TRUE,TRUE
cg_superficie,TRUE,TRUE
sup_ha,TRUE,TRUE
Productor,TRUE,TRUE
cg_dispo_internet,TRUE,TRUE
sup_total_ha,TRUE,TRUE
sup_uso_total_ha,TRUE,TRUE
area.total,TRUE,TRUE
fact_exp_fin,TRUE,TRUE
fact_exp_fin_unique_values,TRUE,TRUE
tenencia_area_arrendamiento,TRUE,TRUE
tenencia_area_dueño,TRUE,TRUE
tenencia_area_especiales,TRUE,TRUE
dueño,TRUE,TRUE
arrendamiento,TRUE,TRUE
especiales,TRUE,TRUE
clase.mayoria,TRUE,TRUE
area_dueño,TRUE,TRUE
area_arrendamiento,TRUE,TRUE
area_especiales,TRUE,TRUE
valor_ad,TRUE,TRUE
ad_rows,TRUE,TRUE
ad_productos,TRUE,TRUE
ad_precio_imputado_rows,TRUE,TRUE
ad_precio_imputado_productos,TRUE,TRUE
valor_cp,TRUE,TRUE
cp_rows,TRUE,TRUE
cp_productos,TRUE,TRUE
cp_precio_imputado_rows,TRUE,TRUE
cp_precio_imputado_productos,TRUE,TRUE
valor_ct,TRUE,TRUE
ct_rows,TRUE,TRUE
ct_productos,TRUE,TRUE
ct_precio_imputado_rows,TRUE,TRUE
ct_precio_imputado_productos,TRUE,TRUE
valor_fp,TRUE,TRUE
fp_rows,TRUE,TRUE
fp_productos,TRUE,TRUE
fp_precio_imputado_rows,TRUE,TRUE
fp_precio_imputado_productos,TRUE,TRUE
valor_ft,TRUE,TRUE
ft_rows,TRUE,TRUE
ft_productos,TRUE,TRUE
ft_precio_imputado_rows,TRUE,TRUE
ft_precio_imputado_productos,TRUE,TRUE
valor_pc,TRUE,TRUE
pc_rows,TRUE,TRUE
pc_productos,TRUE,TRUE
pc_precio_imputado_rows,TRUE,TRUE
pc_precio_imputado_productos,TRUE,TRUE
valor_ac,TRUE,TRUE
ac_rows,TRUE,TRUE
valor_ap,TRUE,TRUE
ap_rows,TRUE,TRUE
valor_gl,TRUE,TRUE
gl_rows,TRUE,TRUE
valor_gp,TRUE,TRUE
gp_rows,TRUE,TRUE
valor_gv,TRUE,TRUE
gv_rows,TRUE,TRUE
valor_oe,TRUE,TRUE
oe_rows,TRUE,TRUE
eu_k1301,TRUE,TRUE
eu_rows,TRUE,TRUE
cp_usa_riego,TRUE,TRUE
cp_usa_fertiliz,TRUE,TRUE
cp_usa_plaguicidas,TRUE,TRUE
ct_usa_riego,TRUE,TRUE
ct_usa_fertiliz,TRUE,TRUE
ct_usa_plaguicidas,TRUE,TRUE
fp_usa_riego,TRUE,TRUE
fp_usa_fertiliz,TRUE,TRUE
fp_usa_plaguicidas,TRUE,TRUE
ft_usa_riego,TRUE,TRUE
ft_usa_fertiliz,TRUE,TRUE
ft_usa_plaguicidas,TRUE,TRUE
pc_usa_riego,TRUE,TRUE
pc_usa_fertiliz,TRUE,TRUE
pc_usa_plaguicidas,TRUE,TRUE
produccion_ec,TRUE,TRUE
productividad_superficie,TRUE,TRUE
productividad_trabajo,TRUE,TRUE
usa_riego_global,TRUE,TRUE
usa_fert_global,TRUE,TRUE
usa_plag_global,TRUE,TRUE
