"variable","in_original","in_reproducible"
"Identificador",TRUE,TRUE
"valor_ac",TRUE,TRUE
"valor_ad",TRUE,TRUE
"valor_ap",TRUE,TRUE
"valor_cp",TRUE,TRUE
"valor_ct",TRUE,TRUE
"valor_fp",TRUE,TRUE
"valor_ft",TRUE,TRUE
"valor_gl",TRUE,TRUE
"valor_gp",TRUE,TRUE
"valor_gv",TRUE,TRUE
"valor_oe",TRUE,TRUE
"valor_pc",TRUE,TRUE
"produccion_ec",TRUE,TRUE
"ual_prov",TRUE,TRUE
"ual_estr",TRUE,TRUE
"ual_segm",TRUE,TRUE
"al_ncues",TRUE,TRUE
"anio_encuesta",TRUE,TRUE
"cg_vive_predio_pr",TRUE,TRUE
"cg_terredensm",TRUE,TRUE
"cg_dista_pre_viv",TRUE,TRUE
"cg_k100",TRUE,TRUE
"cg_k101",TRUE,TRUE
"cg_se_define",TRUE,TRUE
"cg_k102",TRUE,TRUE
"cg_segsoccam",TRUE,TRUE
"cg_dispo_comp",TRUE,TRUE
"cg_dispo_tlfint",TRUE,TRUE
"cg_dispo_internet",TRUE,TRUE
"cg_superficie",TRUE,TRUE
"cg_unidadmedida",TRUE,TRUE
"sup_ha",TRUE,TRUE
"edad_rango",TRUE,TRUE
"Productor",TRUE,TRUE
"grupo1",TRUE,TRUE
"eu_k1301",TRUE,TRUE
"productividad_superficie",TRUE,TRUE
"productividad_trabajo",TRUE,TRUE
"area.total",TRUE,TRUE
"dueño",TRUE,TRUE
"arrendamiento",TRUE,TRUE
"especiales",TRUE,TRUE
"clustering",TRUE,TRUE
"clase.mayoria",TRUE,TRUE
"fact_exp_fin",TRUE,TRUE
"usa_riego_global",TRUE,TRUE
"usa_fert_global",TRUE,TRUE
"usa_plag_global",TRUE,TRUE
".row_in_id",TRUE,TRUE
