"variable","max_abs_diff","mean_abs_diff","n_diff"
"Identificador",28,0.0204975968334747,109
"valor_ac",3093.24,8.02566677033267,2778
"valor_ad",96037.770443711,38.8278817451136,2106
"valor_ap",10378800,3830.88025411366,226
"valor_cp",139108750.12872,46093.7435706628,3447
"valor_ct",3138316.654,1384.23799288858,3060
"valor_fp",9723600,1308.52728674253,70
"valor_ft",41970067.776,1056.46745395365,12
"valor_gl",984371.1,1123.39469253605,3766
"valor_gp",14776891.2,743.146059513712,2281
"valor_gv",138040.8,32.7754311563472,781
"valor_oe",280035,240.071381113938,1760
"valor_pc",19492500,11869.4864118159,3339
"produccion_ec",139108750.12872,66546.9547237368,8659
"ual_estr",0,0,0
"ual_segm",1,0.000965978701347658,41
"al_ncues",9998,10.019154650834,9158
"anio_encuesta",0,0,0
"cg_dista_pre_viv",999.19,6.60312574901558,3209
"cg_k101",79,3.82207143530299,8843
"cg_superficie",48950,9.65886320799171,8570
"sup_ha",48950,9.6124907839035,8591
"eu_k1301",1396,0.815158571381719,4408
"productividad_superficie",6696000,2644.08173766612,8656
"productividad_trabajo",9746250,7061.64692742728,8643
"area.total",757784.763952838,98.267729313262,39160
"dueño",1,0.0249443944147895,1798
"arrendamiento",1,0.0206158695710945,1529
"especiales",1,0.00481268353213544,320
"clustering",3,0.0336914522665159,1215
"fact_exp_fin",0,0,0
